dataset_group,file_name,column_index,column_name
openassistant,oasst1-train.csv,0,message_id
openassistant,oasst1-train.csv,1,parent_id
openassistant,oasst1-train.csv,2,user_id
openassistant,oasst1-train.csv,3,created_date
openassistant,oasst1-train.csv,4,text
openassistant,oasst1-train.csv,5,role
openassistant,oasst1-train.csv,6,lang
openassistant,oasst1-train.csv,7,review_count
openassistant,oasst1-train.csv,8,review_result
openassistant,oasst1-train.csv,9,deleted
openassistant,oasst1-train.csv,10,rank
openassistant,oasst1-train.csv,11,synthetic
openassistant,oasst1-train.csv,12,model_name
openassistant,oasst1-train.csv,13,detoxify
openassistant,oasst1-train.csv,14,message_tree_id
openassistant,oasst1-train.csv,15,tree_state
openassistant,oasst1-train.csv,16,emojis
openassistant,oasst1-train.csv,17,labels
openassistant,oasst1-val.csv,0,message_id
openassistant,oasst1-val.csv,1,parent_id
openassistant,oasst1-val.csv,2,user_id
openassistant,oasst1-val.csv,3,created_date
openassistant,oasst1-val.csv,4,text
openassistant,oasst1-val.csv,5,role
openassistant,oasst1-val.csv,6,lang
openassistant,oasst1-val.csv,7,review_count
openassistant,oasst1-val.csv,8,review_result
openassistant,oasst1-val.csv,9,deleted
openassistant,oasst1-val.csv,10,rank
openassistant,oasst1-val.csv,11,synthetic
openassistant,oasst1-val.csv,12,model_name
openassistant,oasst1-val.csv,13,detoxify
openassistant,oasst1-val.csv,14,message_tree_id
openassistant,oasst1-val.csv,15,tree_state
openassistant,oasst1-val.csv,16,emojis
openassistant,oasst1-val.csv,17,labels
twitter,sample.csv,0,tweet_id
twitter,sample.csv,1,author_id
twitter,sample.csv,2,inbound
twitter,sample.csv,3,created_at
twitter,sample.csv,4,text
twitter,sample.csv,5,response_tweet_id
twitter,sample.csv,6,in_response_to_tweet_id
twitter,twcs.csv,0,tweet_id
twitter,twcs.csv,1,author_id
twitter,twcs.csv,2,inbound
twitter,twcs.csv,3,created_at
twitter,twcs.csv,4,text
twitter,twcs.csv,5,response_tweet_id
twitter,twcs.csv,6,in_response_to_tweet_id
